100_001|Главная|Hauptseite
108_007|Структурно проблемная операция выглядит следующим образом.|Eine strukturell problematische Operation sieht wie folgt aus.
108_008|Вредный продукт проблемной операции|Schädliches Produkt der problematischen Operation
108_009|Полезный продукт проблемной операции|Nützliches Produkt der problematischen Operation
108_010|Оборудование|Ausrüstung
108_011|Операция|Operation
108_012|Схема проблемной операции|Schema der problematischen Operation
108_015|Как найти проблемную операцию|Wie eine problematische Operation finden
108_016|Зачастую оказывается, что технологический процесс, выполняемый машиной, достаточно понятен после ее анализа и описания, и проблемная операция уже очевидна. Если же это не так, технологический процесс надо дополнительно проанализировать.|Oft stellt sich heraus, dass der von der Maschine durchgeführte technologische Prozess nach seiner Analyse und Beschreibung ziemlich klar ist und die problematische Funktionsweise bereits offensichtlich ist. Ist dies nicht der Fall, muss der technologische Prozess weiter analysiert werden.
108_017|Этот анализ ведётся несколькими циклами. Вначале технологический процесс делят на крупные, базовые операции, и определяют, на какой из них появляется вредный продукт. Для этого машина раскладывается на функциональные модули, каждый из которых выполняет определенную простую или сложную операцию.|Diese Analyse wird in mehreren Zyklen durchgeführt. Zunächst wird der technologische Prozess in große Grundvorgänge unterteilt und ermittelt, in welchem ein schädliches Produkt auftritt. Dazu wird die Maschine in Funktionsmodule zerlegt, von denen jedes eine bestimmte einfache oder komplexe Operation ausführt.
108_018|Затем потенциально проблемную операцию рассматривают более подробно, раскладывая на более мелкие. И на этом уровне находят операцию с вредным продуктом. Так продолжают до того момента, пока операция не окажется простейшим действием, дальнейшее деление которого на более мелкие действия нецелесообразно, поскольку действие переходит на уровень физических процессов, а не технологии.|Dann wird die potentiell problematische Operation genauer betrachtet, indem sie in kleinere zerlegt wird. Auch auf dieser Detailebene wird die Operation mit dem schädlichen Produkt bestimmt. Dies wird fortgesetzt, bis die Operation eine einfachste Handlung ist, deren weitere Aufteilung in kleinere Handlungen nicht zielführend ist, da die Handlung auf die Ebene physikalischer Prozesse übergeht und sich nicht mehr auf die Ebene der Technologie bewegt.
108_019|Анализируемая машина|Zu analysierende Maschine
108_020|Функциональный блок 1/2/3/4/5|Funktionsblock 1/2/3/4/5
108_021|Операция 1/2/3/4/5|Operation 1/2/3/4/5
108_022|Разделение машины на функциональные модули (первый уровень иерархии)|Aufteilung der Maschine in Funktionsmodule ​​(erste Hierarchieebene)
108_024|При анализе простых технологических процессов элементарная проблемная операция может обнаружиться уже на первом цикле. Более сложные процессы приходится раскладывать на несколько иерархических уровней.|Bei der Analyse einfacher technologischer Prozesse langt man bereits im ersten Zyklus bei elementaren problematischen Operationen an. Kompliziertere Prozesse müssen über mehrere Hierarchieebenen untersucht werden.
108_025|Пример: Определение неисправности автомобиля.|Beispiel: Feststellen einer Störung am Auto.
108_026|Здесь можно провести аналогию с ремонтом, например, неисправного автомобиля. Вначале мастер проводит блиц-анализ: колеса в порядке, кабина, сиденья, подвеска – хорошо, двигатель – увы, не работает. |Hier kann man eine Analogie zur Reparatur beispielsweise eines defekten Autos ziehen. Zuerst führt der Meister eine Blitzanalyse durch: Die Räder sind in Ordnung, die Kabine, die Sitze, die Federung - okay, oh, der Antrieb funktioniert leider nicht.
108_027|Мастер забывает про подвеску и прочие части автомобиля и концентрируется на двигателе: цилиндропоршневая группа – хорошо, система подачи топлива – в порядке, газораспределение и охлаждение – работают, система электропитания – не работает.|Der Meister vergisst die Federung und die anderen Teile des Autos und konzentriert sich auf den Motor: Die Kolbengruppe - okay, die Kraftstoffversorgung arbeitet, die Benzineinspritzung und die Kühlung funktionieren, die Stromversorgung funktioniert nicht.
108_028|Далее анализ переходит на систему электропитания, и здесь мастер находит причину - свечи зажигания. Смотрим свечи: контакты – вроде ничего, изоляция – нормально, искровые электроды – в нагаре – не работают!  |Als nächstes geht die Analyse über zum Stromversorgungssystem, und hier findet der Meister den Grund - die Zündkerzen. Wir sehen uns die Kerzen an: Die Kontakte sehen gut aus, die Isolierung ist normal, die Zündelektroden sind verrußt und funktionieren nicht!
108_029|Вредный продукт – нет искры, операция при которой он возникает – найдена. Это «образование искры в межэлектродном зазоре». Полезный продукт здесь – искра, вредный – отсутствие этой самой искры. Вредный продукт проблемной операции действует далее по обратной цепочке и приводит к тому, что автомобиль никуда не едет (не выполняет свою функцию), – и возникает нежелательный эффект.|Das schädliche Produkt - es gibt keinen Funken, die Operation, bei dem es auftritt - ist gefunden. Dies ist „die Bildung eines Funkens in der Lücke zwischen den Elektroden“. Das nützliche Produkt ist hier der Funken, das schädliche Produkt das Fehlen ebendieses Funkens.  Das schädliche Produkt wirkt rückwärts längs einer Kausalkette und führt dazu, dass das Auto nirgendwohin fährt (seine Funktion nicht erfüllt) und so der unerwünschte Effekt auftritt. 
108_030|Нежелательный эффект: Автомобиль не перевозит груз|Unerwünschter Effekt: Das Auto transportiert keine Fracht
108_031|Перевозка груза|Frachttransport
108_032|Автомобиль|Auto
108_033|Операция 1.1/1.2/2.1/…….|Operation 1.1/1.2/2.1/…….
108_034|Кабина|Kabine
108_035|Подвеска|Aufhängung
108_036|Двигатель|Motor
108_037|Колёса|Räder
108_038|Цилиндро-поршневая группа|Zylinder-Kolben-Gruppe
108_039|Система подачи топлива|Kraftstoffversorgungssystem
108_040|Система газораспределения|Benzineinspritzung
108_041|Система электропитания|Stromversorgung
108_042|Система охлаждения|Kühlsystem
108_043|Генератор|Generator
108_044|Аккумулятор|Batterie
108_045|Свечи зажигания|Zündkerzen
108_046|Предохранители|Sicherungen
108_047|Подача высокого напряжения|Hochspannungsversorgung
108_048|Контакты|Kontakte
108_049|Изоляция|Isolation
108_050|Искровые электроды|Funkenelektroden
108_051|Проблемная операция: Электроды свечи – генерируют – искру|Problematische Operation: Kerzenelektroden - erzeugen - Funken
108_052|Полезный продукт: искра в межэлектродном зазоре|Nützliches Produkt: Funken in der Elektrodenlücke
108_053|Вредный продукт: отсутствие искры|Schädliches Produkt: Kein Funke
108_054|Поиск проблемной операции на примере неисправного автомобиля|Suche nach einer problematischen Operation am Beispiel eines fehlerhaften Autos
108_056|Такой подход позволяет определить проблемную зону машины и набор компонентов, которые участвуют в выполнении проблемной операции. Если мы правильно определили проблемную операцию, то мы можем построить конфликт и разобраться в его причинах.|Mit diesem Ansatz kann man die problematische Zone der Maschine und die Menge der Komponenten identifizieren, die an der Ausführung der problematischen Operation beteiligt sind. Wenn wir die problematische Operation korrekt identifiziert haben, können wir einen Konflikt aufbauen und dessen Ursachen herausfinden.
108_057|Деление машины на функциональные модули годится для простых случаев. Для анализа сложных систем целесообразно строить процессные модели системы на каждом иерархическом уровне. В такой модели подробно расписывается каждая операция, указывается ее исполнитель, входящий и выходящий продукты, вредные продукты, если таковые обнаружатся.|Die Unterteilung der Maschine in Funktionsmodule ist für einfache Fälle geeignet. Für die Analyse komplizierter Systeme empfiehlt es sich, auf jeder Hierarchieebene Prozessmodelle des Systems zu erstellen. Jeder Vorgang wird in diesem Modell detailliert beschrieben, sein Ausführender benannt und eingehende und ausgehende Produkte bestimmt sowie gegebenenfalls schädliche Produkte bestimmt, wenn diese auftauchen. 
108_059|О работе с ТРИЗ-тренером|Über die Arbeit mit dem TRIZ-Trainer
108_060|Вход этого шага – описание в темплейте машины, связанной с проблемной ситуацией, ее устройства и работы. На выходе мы должны понимать, какая именно операция технологического процесса является проблемной, то есть, дает не только полезный продукт, но и вредный.|Eingabe dieses Schritts ist die Beschreibung der Maschine im Template, die sich auf die Problemsituation, deren Aufbau und Betrieb bezieht. Am Ausgang müssen wir verstehen, welche der Operationen im technologischen Betrieb problematisch ist, d.h. die nicht nur ein nützliches, sondern auch ein schädliches Produkt hervorbringt. 
108_062|Сквозной пример. Коробка для пиццы|Komplex-Beispiel. Die Pizza-Box
108_064|Работа машины: |Arbeit der Maschine:
108_065|Пицца укладывается в коробку нижней поверхностью на дно. Крышка надевается сверху. При перевозке коробка сохраняет пиццу. Перед использованием пиццу достают из коробки.|Die Pizza wird in eine Schachtel mit der Unterseite nach unten gelegt. Der Deckel wird geschlossen. Während des Transports wird die Pizza in der Schachtel aufbewahrt. Die Pizza wird vor dem Gebrauch aus der Schachtel genommen.
108_066|Проблемная операция: |Problematische Operation:
108_067|Последовательность операций технологического процесса следующая: укладка пиццы в коробку -> перевозка пиццы -> извлечение пиццы из коробки.|Der Ablauf ist wie folgt: Pizza in die Schachtel packen -> Pizza transportieren -> Pizza aus der Schachtel entnehmen.
108_068|Проблемная операция следующая: Извлечение пиццы из коробки.|Die problematische Operation ist folgende: Pizza aus der Schachtel nehmen.
108_069|Именно при выполнении этой операции возникают как полезный продукт (извлеченная пицца), так и вредный продукт (пицца с изорванным основанием).|Während dieses Vorgangs entstehen sowohl ein nützliches Produkt (herausgenommene Pizza) als auch ein schädliches Produkt (Pizza mit zerfetztem Boden).
108_070|Вредная операция - извлечение пиццы из коробки|Schädliche Operation - Pizza aus der Schachtel nehmen
109_001|Построение конфликта|Konflikt konstruieren
109_002|Конфликт и его структура|Konflikt und dessen Struktur
109_003|Если есть проблемная операция и появляется вредный продукт, следовательно, какие-то компоненты машины работают не как задумывалось, вступают в негативное взаимодействие. В этом взаимодействии один компонент подвергается воздействию – это обрабатываемый объект. Другой компонент выполняет вредное действие, он является инструментом. Инструмент может быть составным, комплексным – не обязательно одна-единственная часть машины. Это особенно характерно для сложных, распределённых конфликтов.|Wenn ein problematische Operation vorliegt und ein schädliches Produkt auftritt, so arbeiten einige Komponenten der Maschine nicht bestimmungsgemäß, treten in eine negative Interaktion ein. In dieser Interaktion wird auf eine Komponente eingewirkt - es handelt sich um das zu bearbeitende Objekt. Eine andere Komponente führt eine schädliche Aktion aus, sie ist das Werkzeug.  Ein Werkzeug kann zusammengesetzt oder komplex sein und muss nicht unbedingt ein einzelnes Teil der Maschine sein. Dies gilt insbesondere für komplexe, verteilte Konflikte. 
109_004|Вредный инструмент|Schädliches Instrument
109_005|Вредное действие|Schädliche Handlung
109_006|Обрабатываемый объект|Bearbeitetes Objekt
109_007|Вредный продукт операции|Schädliches Produkt der Operation
109_008|Конфликтное взаимодействие|Konfliktinteraktion
109_010|Структура конфликтного взаимодействия аналогична структуре любой другой функции. Вся разница в том, что конфликт - это функция вредная, инструмент и действие, которое при этом выполняется, тоже являются вредными, нежелательными.|Die Struktur der Konfliktinteraktion ähnelt der Struktur jeder anderen Funktion. Der ganze Unterschied besteht darin, dass der Konflikt eine schädliche Funktion ist, das Werkzeug und die ausgeführte Aktion damit ebenfalls schädlich und unerwünscht sind.
109_012|Построение конфликтного взаимодействия|Aufstellung der Konfliktinteraktion
109_013|Определять структуру конфликта мы начинаем с анализа вредного продукта, который появляется на проблемной операции. Зная свойства вредного продукта, сравнительно просто понять, что является обрабатываемым объектом. Для этого нужно сделать шаг назад во времени и представить себе, а из чего получился вредный продукт, каким именно он был до вредного преобразования. Ответив на это вопрос, мы найдем обрабатываемый объект – это сравнительно просто.|Um die Struktur des Konflikts zu bestimmen, beginnen wir mit der Analyse des schädlichen Produkts, welches bei der problematischen Operation auftritt. Wenn wir die Eigenschaften des schädlichen Produkts kennen, ist relativ einfach zu verstehen, was das bearbeitete Objekt ist. Dabei einen Schritt in die Vergangenheit hilfreich - überlegen Sie, woraus das schädliche Produkt entstanden ist, was genau es vor der schädlichen Umwandlung war. Wenn wir diese Frage beantworten, finden wir das bearbeitete Objekt - das ist relativ einfach. 
109_014|Следующее действие – определение вредного инструмента. Здесь надо ответить на два вопроса:|Der nächste Schritt besteht darin, das schädliche Instrument zu identifizieren. Hier müssen zwei Fragen beantwortet werden:
109_015|1. Какие именно компоненты машины могут вступать в непосредственное взаимодействие с обрабатываемым объектом?|1. Welche Komponenten der Maschine können direkt mit dem zu bearbeitenden Objekt interagieren?
109_016|Ответ на этот вопрос можно дать, проанализировав обрабатываемый объект и его окружение.|Die Antwort auf diese Frage kann durch Analyse des verarbeiteten Objekts und seiner Umgebung gegeben werden.
109_017|2. Какой именно компонент (или совокупность компонентов) из присутствующих в системе могут по своим потенциальным возможностям выполнить преобразование обрабатываемого объекта во вредный продукт?|2. Welche im System vorhandene Komponente (oder Gruppe von Komponenten) kann aufgrund ihrer potenziellen Fähigkeiten das verarbeitete Objekt in ein schädliches Produkt umwandeln?
109_018|Ответив на эти два вопроса, мы определим обстоятельства конфликта, его структуру. После этого нужно определить место и время конфликта.|Nachdem wir diese beiden Fragen beantwortet haben, werden wir die Umstände des Konflikts und seine Struktur bestimmen. Danach müssen wir noch den Ort und die Zeit des Konflikts bestimmen.
109_019|Место конфликта – это пространство, в котором располагаются взаимодействующие компоненты и вредный продукт.|Ort des Konflikts ist ein Bereich, in dem sich interagierende Komponenten und das schädliche Produkt befinden.
109_020|Время конфликта должно указывать, когда начинается конфликт и когда он заканчивается, как протекает конфликт и как его существование соотносится с технологическим процессом. Конфликт может быть постоянным, возникать периодически, появляться в момент начала работы машины, возникать после того, как машина поработала определенное время.|Die Zeit des Konflikts soll angeben, wann der Konflikt beginnt und wann er endet, wie der Konflikt fortschreitet und wie seine Existenz mit dem technologischen Prozess zusammenhängt. Der Konflikt kann konstant sein, regelmäßig auftreten, zum Zeitpunkt des Arbeitsbeginns der Maschine, nach dem Abschluss der Arbeit der Maschine auftreten oder nachdem die Maschine eine bestimmte Zeit gearbeitet hat. 
109_022|Шаблон описания конфликта|Konfliktbeschreibungsvorlage
109_023|Конфликт удобно описывать согласно следующей формуле:|Der Konflikt wird zweckmäßigerweise nach folgender Formel beschrieben:
109_024|Обстоятельства: «Вредный инструмент --- действует на --- обрабатываемый объект».|Umstände: Ein schädliches Werkzeug - wirkt auf - das bearbeitete Objekt. 
109_025|Получается: вредный продукт.|Es stellt sich heraus: ein schädliches Produkt.
109_026|Где: место конфликта.|Wo: Ort des Konflikts.
109_027|Когда: время конфликта.|Wann: Zeit des Konflikts
109_029|Негативное взаимодействие|Negative Interaktion
109_030|Вредный инструмент|Bad Tool
109_031|Действие|Aktion
109_032|Обрабатываемый объект|Bearbeitetes Objekt
109_033|Где: (место конфликта)|Wo: (Ort des Konflikts9
109_034|Когда: (время конфликта)|Wann: (Zeit des Konflikts)
109_035|Конфликт|Konflikt
109_036|Вредный продукт|Schädliches Produkt
109_037|Полная схема конфликта|Vollständiges Konfliktmuster
109_040|Сложность определения обстоятельств конфликта заключается в том, что он – это результат действия некоей скрытой вредной системы, которая присутствует в общей структуре машины. Как раз на этом шаге мы переходим рубеж – от анализа сознательно запроектированных событий (операций), к изучению событий и обстоятельств, которые происходят вне воли проектировщика (свойства материалов, системные эффекты, физические явления, скрытые процессы и т.п).|Die Schwierigkeit, die Umstände des Konflikts zu bestimmen, liegt darin begründet, dass es sich um das Ergebnis eines verborgenen schädlichen Systems handeln kann, das in der allgemeinen Struktur der Maschine vorhanden ist. Gerade in diesem Schritt überschreiten wir die Grenze - von der Analyse bewusst entworfener Ereignisse (Operationen) zum Studium von Ereignissen und Umständen, die unabhängig vom Willen des Designers auftreten (Materialeigenschaften, Systemeffekte, physikalische Phänomene, versteckte Prozesse usw.). 
109_042|О работе с ТРИЗ-тренером|Über die Arbeit mit dem TRIZ-Trainer
109_043|Вход – описание проблемной операции с указанием полезного и вредного продуктов, возникающих в результате ее осуществления. На выходе этого шага мы должны получить структуру конфликта. |Eingabe - Eine Beschreibung der problematischen Operation mit der Angabe der nützlichen und schädlichen Produkte, die sich aus ihrer Umsetzung ergeben. Am Ende dieses Schritts sollen wir die Struktur des Konflikts kennen.
109_044|При работе с ТРИЗ-тренером можно описывать конфликт словами, без построения схемы, примерно таким образом: «Вредный инструмент – вредно действует на – обрабатываемый объект», получается такой-то вредный продукт. Далее нужно указать место и время конфликтного взаимодействия.|Bei der Arbeit mit dem TRIZ-Trainer kann der Konflikt in Worten beschrieben werden, ohne ein Diagramm zu erstellen, ungefähr so: „Das schädliche Instrument - wirkt schädlich auf - das bearbeitete Objekt“ und erzeugt jenes schädliche Produkt. Weiter müssen Ort und Zeit der Konfliktinteraktion bestimmt werden. 
109_046|Сквозной пример. Коробка для пиццы|Komplexes Beispiel. Die Pizza-Box
109_047|Проблемная операция: Пользователь достаёт пиццу из коробки. Вредный продукт – пицца с изорванным основанием.|Problematische Operation: Der Benutzer entnimmt die Pizza aus der Schachtel. Ein schädliches Produkt ist die Pizza mit einem zerfetztem Boden.
109_048|Построение конфликта:|Konflikt konstruieren:
109_049|1. Вредный продукт – пицца с изорванным дном. Делаем шаг назад: очевидно, что обрабатываемый объект – еще не изорванная пицца.|1. Das schädliche Produkt ist eine Pizza mit einem zerfetzten Boden. Wir treten einen Schritt zurück: Es ist offensichtlich, dass das bearbeitete Objekt noch keine defekte Pizza ist.
109_050|2. С пиццей контактируют дно коробки и воздух внутри коробки. По характеру повреждений пиццы делаем вывод: воздух не может изорвать пиццу, поэтому вредный инструмент - дно коробки.|2. Der Boden der Schachtel und die Luft in der Schachtel kommen mit der Pizza in Kontakt. Aufgrund der Art der Beschädigung der Pizza schließen wir, dass die Luft die Pizza nicht zerreißen kann, sodass das schädliche Werkzeug der Boden der Schachtel ist.
109_051|Структура конфликта: «дно коробки – разрушает – основание пиццы», вредный продукт – пицца с изорванным основанием.|Konfliktstruktur: „Schachtelboden - zerstört - Pizzaboden“, schädliches Produkt - Pizza mit zerfetztem Boden.
109_052|3. Место: место контакта дна коробки и нижней поверхности пиццы.|3. Ort: Der Ort des Kontakts zwischen dem Boden der Schachtel und der Bodenfläche der Pizza.
109_053|4. Время: от начала вынимания пиццы до ее полного отделения от дна коробки.|4. Zeit: vom Beginn des Herausnehmens der Pizza bis zur vollständigen Trennung vom Boden der Schachtel.
109_054|Пицца|Pizza
109_055|Дно коробки|Boden der Schachtel
110_001|Выявление причин конфликта|Konfliktursachen identifizieren
110_002|Итак, мы понимаем обстоятельства конфликтного взаимодействия, его место и время. Мы нашли «больное место» проблемной машины, ядро, главное негативное событие, порождающее проблемную ситуацию.|Wir verstehen also die Umstände der Konfliktinteraktion, ihren Ort und ihre Zeit. Wir haben den „wunden Punkt“ der problematischen Maschine gefunden, den Kern, das wichtigste negative Ereignis, das die Problemsituation hervorruft.
110_003|Теперь нужно найти причины конфликта, выяснить почему он возникает. Изучая конфликт, мы уже ответили на вопросы: «Что происходит?», «Когда?» и «Где?», теперь надо ответить на не менее важный вопрос: «Почему?». Ведь чтобы избавиться от конфликта, нужно устранить его причины, а для этого нужно их знать. Исключительно важно точно выяснить, какие обстоятельства, события или действия приводят к конфликту. Имеется целый ряд причин, почему части системы конфликтуют, их нужно обязательно найти – это необходимый и важный шаг процесса решения.|Jetzt müssen wir die Ursachen des Konflikts finden, klären, warum er auftritt. Bei der Untersuchung des Konflikts haben wir bereits die Fragen beantwortet: „Was passiert?“, „Wann?“ und „Wo?“. Jetzt müssen wir eine ebenso wichtige Frage beantworten: „Warum?“ Um einen Konflikt loszuwerden, müssen wir seine Ursachen beseitigen und dafür müssen wir diese kennen. Es ist äußerst wichtig, genau herauszufinden, welche Umstände, Ereignisse oder Handlungen zu einem Konflikt führen. Es gibt eine Reihe von Gründen, warum Teile des Systems Konflikte verursachen, die wir unbedingt finden müssen - das ist ein notwendiger und wichtiger Schritt im Lösungsprozess. 
110_004|Причины конфликта|Konfliktursachen
110_005|Инструмент|Werkzeug
110_006|Выявление причин конфликта|Konfliktursachen identifizieren
110_007|Далеко не последнюю роль тут играет личный опыт решателя, умение применить различные аналогии. Полезно понимать характер конфликта, а также физические и другие принципы функционирования машины. Бывает, что этого оказывается достаточно, чтобы разобраться в причинах конфликта.|Eine wichtige Rolle spielen dabei die persönlichen Erfahrungen des Beartebierts, die Fähigkeit, verschiedene Analogien anzuwenden. Es ist nützlich, die Natur des Konflikts sowie die physikalischen und anderen Prinzipien der Funktionsweise der Maschine zu verstehen. Es kommt vor, dass dies ausreicht, um die Ursachen des Konflikts zu verstehen.
110_008|К этому надо стремиться, но следует учитывать, что причины конфликта могут искусно прятаться, они совершенно неочевидны, и это может вызывать затруднения. Если ситуация с причинами конфликта не до конца ясна, можно также применить более эффективные методы для их выяснения - построение вредной системы и причинно-следственный анализ.|Man kann sich darum bemühen, aber es ist daran zu denken, dass die Ursachen des Konflikts kunstvoll verborgen sein können, in keiner Weise offensichtlich sein müssen und dies zu Schwierigkeiten führen kann. Wenn die Situation mit den Ursachen des Konflikts nicht bis zum Ende klar ist, können auch effektivere Methoden angewendet werden, um diese Ursachen herauszufinden - die Modellierung des schädlichen Systems oder die Kausalanalyse. 
110_010|О работе с ТРИЗ-тренером|Über die Arbeit mit dem TRIZ-Trainer
110_011|На входе в этот шаг мы уже должны разобраться как устроена и работает машина, понимать конфликтное взаимодействие между компонентами системы, знать место и время возникновения конфликта. |Zu Beginn dieses Schritts verstehen wir bereits, wie die Maschine aufgebaut ist und funktioniert, verstehen die Konfliktinteraktion zwischen den Systemkomponenten und kennen den Ort und die Zeit des Konflikts.
110_012|Выход – понимание причин возникновения конфликта. Тщательная проработка этого шага дает возможность сформулировать адекватные гипотезы и сформулировать задачи.|Ausgangs dieses Schritts verstehen wir die Ursachen der Entstehung des Konflikts. Eine sorgfältige Untersuchung dieses Schritts ermöglicht es, angemessene Hypothesen aufzustellen und daraus abgeleitete Aufgaben zu formulieren.
110_013|При работе с ТРИЗ-тренером построение структуры вредной системы и причинно-следственного дерева приветствуется. Если же ситуация достаточно проста, то можно просто указать причины конфликта.|Bei der Arbet mit dem TRIZ-Trainer ist es vorteilhaft, die Struktur des schädlichen Systems genauer zu kennen und dazu einen Kausalbaum aufzubauen. Wenn die Situation einfach genug ist, kann einfach die Ursachen des Konflikts angeben werden.
111_001|Причинно-следственный анализ|Kausalanalyse
111_003|Причинно-следственный анализ – метод, широко применяемый для работы с ситуациями в разных сферах: в бизнесе, проектировании, криминалистике, теории катастроф и т.п.|Die Kausalanalyse ist eine weit verbreitete Methode, um mit Situationen in verschiedenen Bereichen zu arbeiten: in der Wirtschaft, im Entwurf, in der Forensik, in der Katastrophentheorie usw.
111_004|Построение причинно-следственной цепочки начинается от вредного продукта и конфликтного взаимодействия.  Нам нужно проследить последовательность событий, которые вызывают конфликт, и выявить причинно-следственные связи. Каждое предыдущее событие (или обстоятельство) в цепочке/дереве – это причина события последующего.|Der Aufbau einer Kausalkette beginnt mit einem schädlichen Produkt und dessen Konfliktinteraktion. Wir müssen die Folge von Ereignissen, die einen Konflikt verursachen, verfolgen und Kausalzusammenhänge identifizieren. Jedes vorherige Ereignis (oder jeder Umstand) in der Kette / im Baum ist die Ursache des nachfolgenden Ereignisses. 
111_005|Причина N/3/2/1|Ursache N/3/2/1
111_006|Вредный продукт|Schädliches Produkt
111_007|Причинно-следственная цепочка|Kausalkette
111_008|Каждое событие представляет собой законченное действие, приводящее к негативному результату. Событие, как и любое действие, включает активный компонент (инструмент), воздействующий определенным образом на обрабатываемый объект. Особенность последовательности негативных событий состоит в том, что они выстраиваются в цепочки: каждый инструмент данного события есть продукт, получаемый в результате события предыдущего, а продукт данного события является инструментом для последующего. Конфликтное взаимодействие компонентов – это первое, самое главное вредное событие.|Jedes Ereignis stellt eine abgeschlossene Aktion dar, die zu einem negativen Ergebnis führt. Ein Ereignis enthält wie jede Aktion eine aktive Komponente (Insttrument), die auf eine bestimmte Weise auf das zu bearbeitende Objekt einwirkt. Eine Besonderheit der Folge negativer Ereignisse besteht darin, dass sie in Ketten angeordnet sind: Jedes Werkzeug des gegebenen Ereignisses ist ein Produkt, das als Resultat eines vorangegangenen Ereignisses erhalten wurde, und das Produkt jenes Ereignisses ist das Werkzeug für das folgende. Eine Konfliktinteraktion der Komponenten ist das erste und wichtigste schädliche Ereignis. 
111_010|Особенности построения причинно-следственных цепочек|Besonderheiten der Konstruktion von Kausalketten
111_011|Здесь следует учитывать важное обстоятельство, которое может быть использовано при построении причинно-следственных связей. Дело в том, что каждое негативное событие имеет как минимум две основные причины (рис. 2), определенные свойствами вредного инструмента и обрабатываемого объекта:|Man sollte einen wichtigen Umstand berücksichtigen, der zur Konstruktion von Kausalzusammenhängen herangezogen werden kann. Fakt ist, dass jedes negative Ereignis mindestens zwei Hauptursachen hat (Abb. 2), die durch die Eigenschaften des schädlichen Werkzeugs und des bearbeiteten Objekts bestimmt sind:
111_012|сильное вредное действие на обрабатываемый объект;|Starke schädliche Wirkung auf das bearbeitete Objekt;
111_013|недостаточное сопротивление объекта этому вредному действию.|Unzureichender Widerstand des Objekts gegen diese schädliche Aktion.
111_014|Сильное негативное действие|Starke negative Wirkung
111_015|Слабое сопротивление негативному действию|Schwacher Widerstand gegen die negative Wirkung
111_016|Нежелательное событие|Unerwünschtes Ereignis
111_019|Поэтому на каждом шаге построения причинно-следственного дерева необходимо задавать себе вопросы: а какое именно вредное действие приводит к данному событию, и почему преобразуемый в результате этого вредного действия объект не может ему достаточно эффективно противостоять.|Daher muss man sich bei jedem Schritt der Erstellung eines Kausalbaums die Frage stellen, welche Art von schädlicher Aktion zu diesem Ereignis führt und warum das als Ergebnis dieser schädlichen Aktion transformierte Objekt dem nicht wirksam widerstehen konnte.
111_021|Пример. Сильное вредное действие и слабое ему сопротивление|Beispiel. Starke schädliche Wirkung und schwacher Widerstand dagegen
111_022|Если вода замерзнет в стеклянной бутылке, она разорвет ее. Здесь вредным действием будет огромное давление, создаваемое объемным расширением инструмента –  замерзающей воды, а недостаточная прочность стеклянной бутылки не может противостоять этому вредному действию.|Wenn Wasser in einer Glasflasche gefriert, zerreißt diese. Die schädliche Wirkung ist hier der enorme Druck, der durch die Volumenausdehnung des Werkzeugs - des gefrorenen Wassers - entsteht. Die unzureichende Festigkeit der Glasflasche kann diesem schädlichen Effekt nicht widerstehen.
111_024|Древовидная причинно-следственная структура|Baumartige Kausalstruktur
111_025|Свойства вредных инструментов определены, ведь каждый инструмент негативного события – суть продукт, результат события предыдущего. Кроме того, могут быть выделены дополнительные события, изменяющие вредные свойства инструмента в сторону их усиления. Свойства продукта, обрабатываемого вредным инструментом, в выстраиваемой цепочке не рассматриваются, и являются результатом каких-то пока неизвестных нам событий. Каждое указание свойств может дать начало новой причинно-следственной цепочке, исходная цепочка начинает ветвиться и превращается в древовидную структуру.|Die Eigenschaften von schädlichen Werkzeugen sind wohldefiniert, da jedes Werkzeug eines negativen Ereignisses das Wesen des Produkts ist, das Ergebnis des vorherigen Ereignisses. Darüber hinaus können zusätzliche Ereignisse herausgehoben werden, welche die schädlichen Eigenschaften des Werkzeugs verstärken. Die Eigenschaften des Produkts, das mit dem schädlichen Werkzeug bearbeitet wurde, werden in der sich bildenden Kette nicht berücksichtigt, und sind das Ergebnis uns bisher nicht bekannter Ereignisse. Jeder Hinweis auf Eigenschaften kann zum Anfang einer neuen Kausalkette werden, die ursprüngliche Kette beginnt sich zu verzweigen und in einer Baumstruktur zu entfalten.
111_027|Пример. Забивание гвоздя в твердую стену|Beispiel. Einen Nagel in eine feste Wand einschlagen
111_028|Если забивать гвоздь в твердую стену, то, скорее всего, он согнется.  Это происходит потому, что длинный стержень гвоздя теряет устойчивость при ударе и деформируется.|Wenn man einen Nagel in eine feste Wand einschlagen will, so verbiegt er sich höchstwahrscheinlich. Dies liegt daran, dass der lange Nagelschaft beim Hammerschlag seine Stabilität verliert und sich deformiert.
111_029|Задача о забивании гвоздя в твёрдую стену|Aufgabe: einen Nagel in eine feste Wand einschlagen
111_031|Разберемся почему это происходит.|Wir klären, warum das passiert.
111_032|Конфликт выглядит так: «Шляпка гвоздя, по которой ударяет молоток, и острие, упирающееся в стену --- изгибают ---- стержень гвоздя». Вредный продукт – согнутый гвоздь.|Der Konflikt sieht folgendermaßen aus: „Der Nagelkopf, auf den ein Hammer trifft, und die Spitze, die sich in die Wand bohrt - verbiegt - den Nagelschaft“. Das schädliche Produkt ist ein verbogener Nagel.
111_033|Слабый материал гвоздя|Schwaches Nagelmaterial
